pg_id,title,author,year,fictionality,language,pages
40694,Philosophes et écrivains religieux...,"Barbey d'Aurevilly, J. 1808-1889.",1912,0,fre,
21520,The hound of the Baskervilles : another adventure of Sherlock Holmes / by A. Conan Doyle.,"Doyle, Arthur Conan, 1859-1930",1902,1,eng,358.0
39975,"Audubon and his journals, by Maria R. Audubon, with zoological and other notes by Elliott Coues.","Audubon, Lucy Green Bakewell, 1787-1874.",1897,0,eng,
32643,Abrége de la théorie des fonctions elliptiques à l'usage des     candidats à la licence ès sciences mathématiques.,"Henry, Charles, 1859-1926.",1895,0,fre,
22980,"The golden dream, or, Adventures in the far West / by R.M. Ballantyne.","Ballantyne, R. M. 1825-1894.",1883,1,eng,358.0
56330,Handbuch der chemischen Technologie; unter Mitwirkung von Direktor Th. Beckert [u.a.] ... hrsg. von Dr. O. Dammer.,"Dammer, Otto, 1839-1916.",1898,0,ger,
21684,Opusculos. Por A. Herculano ...,"Herculano, Alexandre, 1810-1877.",1897,0,spa,
8764,The people that time forgot / Edgar Rice Burroughs.,"Burroughs, Edgar Rice, 1875-1950.",1975,1,eng,140.0
50646,Istoria civile del regno di Napoli.,"Giannone, Pietro, 1676-1748.",1822,0,ita,
68302,"History for ready reference... : companion volume, Appendices / by J.N. Larned.","Larned, J. N. 1836-1913.",1913,0,eng,264.0
61706,Niccolò Machiavelli e suoi tempi.,"Villari, Pasquale, 1827-1917.",1927,0,ita,
46743,Methods of ethics : a supplement to the first edition--containing all the important additions and alterations in the second edition.,"Sidgwick, Henry, 1838-1900.",1877,0,eng,
9975,"Paris war days; diary of an American, by Charles Inman Barnard.","Barnard, Charles Inman, 1850-",1914,0,eng,226.0
48154,"History of ancient pottery: Greek, Etruscan, and Roman. Based on the work of Samuel Birch. With 300 illus.","Walters, H. B. 1867-1944",1973,0,eng,
26464,"Gawayne and the green knight; a fairy tale, by Charlton Miner Lewis.","Lewis, Charlton Miner, 1866-1923.",1903,1,eng,108.0
6537,Riders of the purple sage.,"Grey, Zane, 1872-1939.",1960,0,eng,280.0
